#,Img,Artist,Song,Album,Time,Genre,WKS on chart,Votes
1,https://www.cleveroad.com/github/libs/csv-editor/images/Leisurely-Wang-Qing.jpg,Wang Qing,Leisurely,Leisurely,4:57,Pop,4,19924
2,"https://www.cleveroad.com/github/libs/csv-editor/images/There-Will-Be-Many-More-Days-To-Come-Joker-Xue,-Isabelle-Huang.jpg","Joker Xue, Isabelle Huang",There Will Be Many More Days To Come,There Will Be Many More Days To Come,5:22,Dance,6,19839
3,https://www.cleveroad.com/github/libs/csv-editor/images/I-Think-You-Will-Never-Know-Bowen-Wang.jpg,Bowen Wang,I Think You Will Never Know,I Think You Will Never Know,4:28,Pop,5,19819
4,https://www.cleveroad.com/github/libs/csv-editor/images/What's-Wrong!-Beauty-Lo.jpg,Beauty Lo,What's Wrong!,What's Wrong!,4:13,House,1,19800
5,https://www.cleveroad.com/github/libs/csv-editor/images/Warm-Thorn-Hoo-Leeger.jpg,Hoo Leeger,Warm Thorn,Warm Thorn,3:11,Alternative,1,19017
6,https://www.cleveroad.com/github/libs/csv-editor/images/The-Audience-Rainie-Yang.jpg,Rainie Yang,The Audience,The Audience,5:12,Rock,2,18813
7,https://www.cleveroad.com/github/libs/csv-editor/images/I-Do-Eason-Chan.jpg,Eason Chan,I Do,I Do,4:46,Dance,1,17435
8,https://www.cleveroad.com/github/libs/csv-editor/images/Waiting-For-Your-Love-Emma-Wu.jpg,Emma Wu,Waiting For Your Love,Waiting For Your Love,5:23,Pop,1,17414
9,https://www.cleveroad.com/github/libs/csv-editor/images/Qing-Yi-Yao-Yisa-Yu.jpg,Yisa Yu,Qing Yi Yao,Qing Yi Yao,3:14,Alternative,4,17368
10,https://www.cleveroad.com/github/libs/csv-editor/images/Do-You-Remember-Angela-Zhang.jpg,Angela Zhang,Do You Remember,Do You Remember,5:25,Rock,5,16566
11,https://www.cleveroad.com/github/libs/csv-editor/images/Season-Eason-Chan.jpg,Eason Chan,Season,Season,5:49,Dance,2,16558
12,https://www.cleveroad.com/github/libs/csv-editor/images/Flavor-Khalil-Fong-Feat.-Zion.T-&-Crush.jpg,Khalil Fong Feat. Zion.T & Crush,Flavor,Flavor,5:57,Pop,2,16174
13,https://www.cleveroad.com/github/libs/csv-editor/images/Who-Will-Listen-To-You-In-The-World-Yoga-Lin.jpg,Yoga Lin,Who Will Listen To You In The World,Who Will Listen To You In The World,3:18,Dance,4,15770
14,https://www.cleveroad.com/github/libs/csv-editor/images/Named-By-My-Name-X-Nine.jpg,X Nine,Named By My Name,Named By My Name,4:23,Pop,3,15168
15,"https://www.cleveroad.com/github/libs/csv-editor/images/Nevermind-LULU,-Wei-Daxun.jpg","LULU, Wei Daxun",Nevermind,Nevermind,5:41,House,1,13824
16,https://www.cleveroad.com/github/libs/csv-editor/images/One-Person-One-Trip-Ray-Ma.jpg,Ray Ma,One Person One Trip,One Person One Trip,4:42,Alternative,4,13541
17,"https://www.cleveroad.com/github/libs/csv-editor/images/So-Great-GALI,-Kozay.jpg","GALI, Kozay",So Great,So Great,4:45,Dance,1,12569
18,https://www.cleveroad.com/github/libs/csv-editor/images/Wait-For-Me-At-The-End-Faye-Wong.jpg,Faye Wong,Wait For Me At The End,Wait For Me At The End,5:26,Pop,5,11314
19,"https://www.cleveroad.com/github/libs/csv-editor/images/Ghost-Script-ATF,-LadyBeard.jpg","ATF, LadyBeard",Ghost Script,Ghost Script,4:25,Alternative,1,10601
20,https://www.cleveroad.com/github/libs/csv-editor/images/Who-Said-That-I-Can-Not-Cry-Jing-Chang.jpg,Jing Chang,Who Said That I Can Not Cry,Who Said That I Can Not Cry,4:30,Rock,2,10051
