№, Photo, Name, Position, Date of birth, Football team
1, https://upload.wikimedia.org/wikipedia/commons/e/e4/Gabriel_batistuta.jpg, Gabriel Batistuta, FW, 1969-02-01, https://upload.wikimedia.org/wikipedia/en/8/84/Afa_logo_jerseys.png
2, https://upload.wikimedia.org/wikipedia/commons/e/e2/Hernan.png, Hernán Crespo, FW, 1975-07-05, https://upload.wikimedia.org/wikipedia/en/8/84/Afa_logo_jerseys.png
3, https://upload.wikimedia.org/wikipedia/commons/b/bb/Mcu_Alfredo_Di_Stefano.jpg, Alfredo Di Stéfano, FW, 1926-07-04, https://upload.wikimedia.org/wikipedia/en/8/84/Afa_logo_jerseys.png
4, https://upload.wikimedia.org/wikipedia/commons/d/db/Mario_Kempes_2006.jpg, Mario Kempes, FW, 1954-07-15, https://upload.wikimedia.org/wikipedia/en/8/84/Afa_logo_jerseys.png
5, https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Maradona_at_2012_GCC_Champions_League_final.JPG/228px-Maradona_at_2012_GCC_Champions_League_final.JPG, Diego Maradona, FW/MF, 1960-10-30, https://upload.wikimedia.org/wikipedia/en/8/84/Afa_logo_jerseys.png
6, https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Passarella_world_cup.jpg/362px-Passarella_world_cup.jpg, Daniel Passarella, DF, 1953-05-25, https://upload.wikimedia.org/wikipedia/en/8/84/Afa_logo_jerseys.png
7, https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Saviola_after_Goal.jpg/202px-Saviola_after_Goal.jpg, Javier Saviola, FW, 1981-12-11, https://upload.wikimedia.org/wikipedia/en/8/84/Afa_logo_jerseys.png
8, https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/EnriqueSivori_1956.jpeg/174px-EnriqueSivori_1956.jpeg, Omar Sivori, FW, 1935-10-02, https://upload.wikimedia.org/wikipedia/en/8/84/Afa_logo_jerseys.png
9, https://upload.wikimedia.org/wikipedia/commons/2/20/JSV-Presidente-Estudiantes-2014.JPG, Juan Sebastián Verón, MF, 1975-03-09,https://upload.wikimedia.org/wikipedia/en/8/84/Afa_logo_jerseys.png
10, https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Metalist-Inter_%282%29.jpg/159px-Metalist-Inter_%282%29.jpg, Javier Zanetti, DF/MF, 1973-08-10, https://upload.wikimedia.org/wikipedia/en/8/84/Afa_logo_jerseys.png
11, https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Jan_Ceulemans.jpg/159px-Jan_Ceulemans.jpg, Jan Ceulemans, MF, 1957-02-28, https://upload.wikimedia.org/wikipedia/en/f/f5/Belgium_urbsfa.png
